Net coarse_mvp2m | Start training | lr =  0.0001
Epoch 1, loss 1756.3314208984375
Epoch 2, loss 691.8839111328125
Epoch 3, loss 589.106689453125
Epoch 4, loss 491.00738525390625
Epoch 5, loss 457.29937744140625
Epoch 6, loss 425.1296691894531
Epoch 7, loss 493.19866943359375
Epoch 8, loss 425.1855773925781
Epoch 9, loss 443.0902099609375
Epoch 10, loss 424.8068542480469
Epoch 11, loss 373.8826599121094
Epoch 12, loss 428.7033996582031
Epoch 13, loss 392.2880554199219
Epoch 14, loss 403.16937255859375
Epoch 15, loss 405.9071044921875
Epoch 16, loss 388.8106384277344
Epoch 17, loss 379.7779541015625
Epoch 18, loss 451.771728515625
Epoch 19, loss 424.3116455078125
Epoch 20, loss 381.1947021484375
Epoch 21, loss 386.9504089355469
Epoch 22, loss 386.0271911621094
Epoch 23, loss 367.48846435546875
Epoch 24, loss 372.571044921875
Epoch 25, loss 359.936767578125
Epoch 26, loss 352.6143798828125
Epoch 27, loss 358.1834411621094
Epoch 28, loss 352.017578125
Epoch 29, loss 351.71875
Epoch 30, loss 357.34173583984375
Epoch 31, loss 352.810791015625
Epoch 32, loss 366.38037109375
Epoch 33, loss 365.76953125
Epoch 34, loss 338.81402587890625
Epoch 35, loss 335.04547119140625
Epoch 36, loss 347.0628356933594
Epoch 37, loss 346.68756103515625
Epoch 38, loss 367.4710693359375
Epoch 39, loss 347.8802490234375
Epoch 40, loss 334.4617919921875
Epoch 41, loss 307.9254150390625
Epoch 42, loss 329.7408447265625
Epoch 43, loss 314.2511291503906
Epoch 44, loss 304.6368713378906
Epoch 45, loss 292.65386962890625
Epoch 46, loss 296.0695495605469
Epoch 47, loss 282.18359375
Epoch 48, loss 271.1789245605469
Epoch 49, loss 267.1787109375
Epoch 50, loss 267.0939636230469
Epoch 51, loss 257.0928955078125
Epoch 52, loss 265.1544494628906
Epoch 53, loss 262.9148254394531
Epoch 54, loss 250.32167053222656
Epoch 55, loss 239.6486053466797
Epoch 56, loss 244.2389373779297
Epoch 57, loss 272.09930419921875
Epoch 58, loss 284.2286682128906
Epoch 59, loss 243.613525390625
