Net coarse_mvp2m_2_inputs | Start training | lr =  0.0001
Epoch 1, loss 1930.91552734375
Epoch 2, loss 661.8190307617188
Epoch 3, loss 577.4769287109375
Epoch 4, loss 507.2697448730469
Epoch 5, loss 463.5198059082031
Epoch 6, loss 427.0245666503906
Epoch 7, loss 512.5633544921875
Epoch 8, loss 441.60699462890625
Epoch 9, loss 456.4368591308594
Epoch 10, loss 410.1193542480469
Epoch 11, loss 381.49462890625
Epoch 12, loss 397.7919006347656
Epoch 13, loss 407.5563049316406
Epoch 14, loss 377.8818359375
Epoch 15, loss 378.233642578125
Epoch 16, loss 389.3319091796875
Epoch 17, loss 366.89068603515625
Epoch 18, loss 403.2859802246094
Epoch 19, loss 381.93359375
Epoch 20, loss 362.5067443847656
Epoch 21, loss 372.9129943847656
Epoch 22, loss 370.6307373046875
Epoch 23, loss 352.7331848144531
Epoch 24, loss 368.93896484375
Epoch 25, loss 367.6912841796875
Epoch 26, loss 339.32891845703125
Epoch 27, loss 435.69488525390625
Epoch 28, loss 370.4176025390625
Epoch 29, loss 344.1408386230469
Epoch 30, loss 341.83807373046875
Epoch 31, loss 334.3341979980469
Epoch 32, loss 354.3879089355469
Epoch 33, loss 333.28515625
Epoch 34, loss 320.78216552734375
Epoch 35, loss 321.4415283203125
Epoch 36, loss 323.8489990234375
Epoch 37, loss 306.75982666015625
Epoch 38, loss 310.453857421875
Epoch 39, loss 285.2053527832031
Epoch 40, loss 295.0870361328125
Epoch 41, loss 283.9368591308594
Epoch 42, loss 282.2379455566406
Epoch 43, loss 279.2953186035156
Epoch 44, loss 271.0582275390625
Epoch 45, loss 267.2921447753906
Epoch 46, loss 275.4110412597656
Epoch 47, loss 267.9200744628906
Epoch 48, loss 255.88446044921875
Epoch 49, loss 269.75299072265625
Epoch 50, loss 259.4669189453125
Epoch 51, loss 262.19769287109375
Epoch 52, loss 260.02154541015625
Epoch 53, loss 249.1883087158203
Epoch 54, loss 253.70545959472656
Epoch 55, loss 244.54156494140625
Epoch 56, loss 249.84844970703125
Epoch 57, loss 252.56130981445312
Epoch 58, loss 247.95953369140625
Epoch 59, loss 246.43402099609375
Epoch 60, loss 241.98980712890625
Epoch 61, loss 246.10003662109375
Epoch 62, loss 244.3118438720703
Epoch 63, loss 234.2623748779297
Epoch 64, loss 231.8902130126953
Epoch 65, loss 248.73687744140625
Epoch 66, loss 244.35557556152344
Epoch 67, loss 230.5935821533203
Epoch 68, loss 237.0966796875
Epoch 69, loss 232.33792114257812
Epoch 70, loss 227.37098693847656
Epoch 71, loss 226.74632263183594
Epoch 72, loss 225.7750701904297
Epoch 73, loss 223.0380859375
Epoch 74, loss 227.58392333984375
Epoch 75, loss 221.6425323486328
Epoch 76, loss 230.611328125
Epoch 77, loss 236.84193420410156
Epoch 78, loss 230.5875701904297
Epoch 79, loss 217.6846923828125
Epoch 80, loss 211.91427612304688
Epoch 81, loss 209.34323120117188
Epoch 82, loss 209.81954956054688
Epoch 83, loss 200.78530883789062
Epoch 84, loss 201.532470703125
Epoch 85, loss 212.7342987060547
Epoch 86, loss 201.05076599121094
Epoch 87, loss 196.97178649902344
Epoch 88, loss 199.24595642089844
Epoch 89, loss 187.46461486816406
Epoch 90, loss 200.92898559570312
Epoch 91, loss 191.33131408691406
Epoch 92, loss 186.96449279785156
Epoch 93, loss 183.92355346679688
Epoch 94, loss 180.39947509765625
Epoch 95, loss 194.1908721923828
Epoch 96, loss 182.8987579345703
Epoch 97, loss 211.7297821044922
Epoch 98, loss 215.55902099609375
Epoch 99, loss 189.29750061035156
Epoch 100, loss 181.9297637939453
Epoch 101, loss 182.39987182617188
Epoch 102, loss 177.75677490234375
Epoch 103, loss 174.57484436035156
Epoch 104, loss 175.47943115234375
Epoch 105, loss 177.63919067382812
Epoch 106, loss 172.36151123046875
Epoch 107, loss 173.54998779296875
Epoch 108, loss 172.8165283203125
Epoch 109, loss 171.38665771484375
Epoch 110, loss 175.09381103515625
Epoch 111, loss 174.19818115234375
Epoch 112, loss 170.65179443359375
Epoch 113, loss 167.305419921875
Epoch 114, loss 166.7043914794922
Epoch 115, loss 166.95651245117188
Epoch 116, loss 173.60812377929688
Epoch 117, loss 178.0317840576172
Epoch 118, loss 194.5209503173828
Epoch 119, loss 169.8150634765625
Epoch 120, loss 173.0332794189453
Epoch 121, loss 167.5258331298828
Epoch 122, loss 162.8118438720703
Epoch 123, loss 162.3660888671875
Epoch 124, loss 162.28314208984375
Epoch 125, loss 160.2898712158203
Epoch 126, loss 160.0481719970703
Epoch 127, loss 160.01431274414062
Epoch 128, loss 162.3976593017578
Epoch 129, loss 158.60406494140625
Epoch 130, loss 179.63372802734375
Epoch 131, loss 163.653076171875
Epoch 132, loss 160.82289123535156
Epoch 133, loss 157.3512725830078
Epoch 134, loss 156.99923706054688
Epoch 135, loss 166.91314697265625
Epoch 136, loss 158.72970581054688
Epoch 137, loss 156.92092895507812
Epoch 138, loss 154.9878692626953
Epoch 139, loss 155.59693908691406
Epoch 140, loss 160.20570373535156
Epoch 141, loss 157.4513397216797
Epoch 142, loss 153.68704223632812
