Net coarse_mvp2m | Start training | lr =  0.0001
Epoch 1, loss 1615.9111328125
Epoch 2, loss 626.6537475585938
Epoch 3, loss 558.0132446289062
Epoch 4, loss 495.9697265625
Epoch 5, loss 459.73870849609375
Epoch 6, loss 425.378173828125
Epoch 7, loss 446.4996032714844
Epoch 8, loss 450.4229736328125
Epoch 9, loss 434.800537109375
Epoch 10, loss 427.5990905761719
Epoch 11, loss 382.0204772949219
Epoch 12, loss 399.7575988769531
Epoch 13, loss 405.0377197265625
Epoch 14, loss 381.0035400390625
Epoch 15, loss 387.417724609375
Epoch 16, loss 375.9521484375
Epoch 17, loss 380.7852478027344
Epoch 18, loss 365.9156494140625
Epoch 19, loss 366.6370544433594
Epoch 20, loss 356.2877502441406
Epoch 21, loss 371.7106628417969
Epoch 22, loss 361.5408020019531
Epoch 23, loss 346.7613525390625
Epoch 24, loss 348.0090026855469
Epoch 25, loss 363.5257568359375
Epoch 26, loss 336.9493408203125
Epoch 27, loss 312.1884765625
Epoch 28, loss 324.1292724609375
Epoch 29, loss 319.9980163574219
Epoch 30, loss 300.3288269042969
Epoch 31, loss 295.4702453613281
Epoch 32, loss 268.7141418457031
Epoch 33, loss 312.2481994628906
Epoch 34, loss 271.9542541503906
Epoch 35, loss 265.3697509765625
Epoch 36, loss 262.46478271484375
Epoch 37, loss 274.201904296875
Epoch 38, loss 306.6641540527344
Epoch 39, loss 269.5122985839844
Epoch 40, loss 266.7550964355469
Epoch 41, loss 270.23236083984375
Epoch 42, loss 248.0504608154297
Epoch 43, loss 245.05657958984375
Epoch 44, loss 235.09417724609375
Epoch 45, loss 254.76014709472656
Epoch 46, loss 231.19998168945312
Epoch 47, loss 224.3898162841797
Epoch 48, loss 245.8687286376953
Epoch 49, loss 224.7818145751953
Epoch 50, loss 220.69659423828125
Epoch 51, loss 236.30792236328125
Epoch 52, loss 216.650634765625
Epoch 53, loss 245.48590087890625
Epoch 54, loss 214.3317108154297
Epoch 55, loss 211.46160888671875
Epoch 56, loss 209.44454956054688
Epoch 57, loss 205.27256774902344
