filename,error
17767_Common_knapweed_Centaurea_nigra_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17775_Chive_Allium_schoenoprasum_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17776_Sweet_alyssum_Lobularia_maritima_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17777_Blackberry_Rubus_fruticosus_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17778_Willow_Salix_alba_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17779_Strawberry_Fragaria_ananassa_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17781_Common_thyme_Thymus_vulgaris_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17782_Golden-ray_lily_Lilium_auratum_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17783_Ribwort_plantain_Plantago_lanceolata_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17784_Rose_Rosa_sp_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17785_Hedge_bindweed_Calystegia_sepium_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17786_Poppy_Papaver_sp_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17787_Yellow_iris_Iris_pseudacorus_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17788_Gorse_Ulex_europaeus_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17789_Common_foxglove_Digitalis_purpurea_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17790_Black_elderberry_Sambucus_nigra_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17791_Common_camellia_Camellia_japonica_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17792_Crimson_bottlebrush_Callistemon_citrinus_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17793_Cabbage_palm_Cordyline_australis_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17794_Butterfly_bush_Buddleja_davidii_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17795_Common_heather_Calluna_vulgaris_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17796_Hardy_fuchsia_Fuchsia_magellanica_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17798_Tomato_Solanum_lycopersicum_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17799_Common_thistle_Cirsium_vulgare_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17801_Clematis_Clematis_sp_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17802_Common_whitebeam_Sorbus_aria_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17803_Ox-eye_daisy_Leucanthemum_vulgare_pollen_grain.stl,'Trimesh' object has no attribute 'is_manifold'
17805_Wall_bellflower_Campanula_portenschlagiana_pollen.stl,'Trimesh' object has no attribute 'is_manifold'
