filename,filepath,genus,species,pv_n_vertices,pv_n_faces,pv_bounds_x_min,pv_bounds_x_max,pv_bounds_y_min,pv_bounds_y_max,pv_bounds_z_min,pv_bounds_z_max,pv_center_x,pv_center_y,pv_center_z,pv_length,pv_area,pv_volume,tm_n_vertices,tm_n_faces,tm_extent_x,tm_extent_y,tm_extent_z,tm_scale,tm_centroid_x,tm_centroid_y,tm_centroid_z,tm_is_watertight,tm_is_manifold,tm_face_normals_consistent,tm_euler_number,tm_components,tm_area,tm_volume,tm_is_convex,avg_edge_length,std_edge_length,avg_normal_magnitude,std_normal_magnitude
17767_Common_knapweed_Centaurea_nigra_pollen_grain.stl,C:/Users/super/Documents/GitHub/sequoia/data\raw\17767_Common_knapweed_Centaurea_nigra_pollen_grain.stl,Unknown,Unknown,99186,198368,12.226200103759766,44.7151985168457,14.317899703979492,45.797298431396484,1.7785500288009644,34.40480041503906,28.470699310302734,30.05759906768799,18.091675221920013,55.775978488868354,3481.059600358711,16990.947035843496,595104,198368,32.48899841308594,31.479398727416992,32.6262503862381,55.775978488868354,28.852692883248412,30.308438342163768,18.12611801094588,False,,,,,,,,,,,
17775_Chive_Allium_schoenoprasum_pollen_grain.stl,C:/Users/super/Documents/GitHub/sequoia/data\raw\17775_Chive_Allium_schoenoprasum_pollen_grain.stl,Unknown,Unknown,39836,79668,10.985099792480469,28.695199966430664,9.72506046295166,36.45899963378906,0.19896300137043,17.721900939941406,19.840149879455566,23.09203004837036,8.960431970655918,36.54318685829679,1210.948764651934,3085.114876277141,239004,79668,17.710100173950195,26.733939170837402,17.522937938570976,36.54318685829679,19.865184800598055,22.730777844179016,7.789395339308317,False,,,,,,,,,,,
17776_Sweet_alyssum_Lobularia_maritima_pollen_grain.stl,C:/Users/super/Documents/GitHub/sequoia/data\raw\17776_Sweet_alyssum_Lobularia_maritima_pollen_grain.stl,Unknown,Unknown,90020,181272,13.371500015258789,38.01139831542969,16.892099380493164,30.420799255371094,1.4500999450683594,14.916199684143066,25.69144916534424,23.65644931793213,8.183149814605713,31.16867258530582,2379.155165955164,1659.444574442986,543816,181272,24.6398983001709,13.52869987487793,13.466099739074707,31.16867258530582,25.881743168943103,23.6385764353572,8.847214208829929,False,,,,,,,,,,,
17777_Blackberry_Rubus_fruticosus_pollen_grain.stl,C:/Users/super/Documents/GitHub/sequoia/data\raw\17777_Blackberry_Rubus_fruticosus_pollen_grain.stl,Unknown,Unknown,82007,163942,11.122099876403809,39.67490005493164,15.827300071716309,40.81890106201172,1.9899499416351318,32.26150131225586,25.398499965667725,28.323100566864014,17.125725626945496,48.54080078116968,2642.9755169273244,9847.921052154641,491826,163942,28.552800178527832,24.99160099029541,30.271551370620728,48.54080078116968,25.60024821066406,28.25977969361034,17.676460426857126,False,,,,,,,,,,,
17778_Willow_Salix_alba_pollen_grain.stl,C:/Users/super/Documents/GitHub/sequoia/data\raw\17778_Willow_Salix_alba_pollen_grain.stl,Unknown,Unknown,82380,164768,6.478499889373779,24.930500030517578,8.094240188598633,26.072200775146484,1.9537700414657593,19.791400909423828,15.704499959945679,17.08322048187256,10.872585475444794,31.334716386809205,1679.8940654342573,1564.6155310670706,494304,164768,18.4520001411438,17.97796058654785,17.83763086795807,31.334716386809205,15.716860005439756,17.004979694700772,10.907386052739932,False,,,,,,,,,,,
17779_Strawberry_Fragaria_ananassa_pollen_grain.stl,C:/Users/super/Documents/GitHub/sequoia/data\raw\17779_Strawberry_Fragaria_ananassa_pollen_grain.stl,Unknown,Unknown,82614,165232,2.987230062484741,32.54669952392578,7.327809810638428,31.383699417114258,1.712980031967163,26.428699493408203,17.76696479320526,19.355754613876343,14.070839762687683,45.42372560785247,3801.818335586806,3764.5941209910798,495696,165232,29.55946946144104,24.05588960647583,24.71571946144104,45.42372560785247,17.797400609332232,19.849614916288782,13.962570788127607,False,,,,,,,,,,,
17781_Common_thyme_Thymus_vulgaris_pollen_grain.stl,C:/Users/super/Documents/GitHub/sequoia/data\raw\17781_Common_thyme_Thymus_vulgaris_pollen_grain.stl,Unknown,Unknown,83564,167096,16.38599967956543,48.57550048828125,17.827600479125977,52.20930099487305,1.5218000411987305,30.835899353027344,32.48075008392334,35.01845073699951,16.178849697113037,55.475956153387656,3360.83832726246,16075.079970714278,501288,167096,32.18950080871582,34.38170051574707,29.314099311828613,55.475956153387656,32.78713787152637,34.898638522805065,16.208884379762186,False,,,,,,,,,,,
17782_Golden-ray_lily_Lilium_auratum_pollen_grain.stl,C:/Users/super/Documents/GitHub/sequoia/data\raw\17782_Golden-ray_lily_Lilium_auratum_pollen_grain.stl,Unknown,Unknown,83865,167776,10.050999641418457,69.8583984375,1.638550043106079,77.43329620361328,0.10971300303936005,40.879798889160156,39.95469903945923,39.53592312335968,20.494755946099758,104.80442929309295,17051.459595321852,99000.67008073235,503328,167776,59.80739879608154,75.7947461605072,40.770085886120796,104.80442929309295,38.54116223340775,37.52961396815519,22.231297534169343,False,,,,,,,,,,,
17783_Ribwort_plantain_Plantago_lanceolata_pollen_grain.stl,C:/Users/super/Documents/GitHub/sequoia/data\raw\17783_Ribwort_plantain_Plantago_lanceolata_pollen_grain.stl,Unknown,Unknown,79525,158918,6.901150226593018,32.4463005065918,5.955589771270752,33.594398498535156,0.28502699732780457,26.617000579833984,19.673725366592407,19.774994134902954,13.451013788580894,45.932899793501306,2203.2849655010587,9351.556050175812,476754,158918,25.54515027999878,27.638808727264404,26.33197358250618,45.932899793501306,19.645086933830427,19.467150733564118,13.657052083430269,False,,,,,,,,,,,
17784_Rose_Rosa_sp_pollen_grain.stl,C:/Users/super/Documents/GitHub/sequoia/data\raw\17784_Rose_Rosa_sp_pollen_grain.stl,Unknown,Unknown,80450,160896,17.77989959716797,41.319801330566406,13.945699691772461,44.94540023803711,1.545259952545166,21.16069984436035,29.549850463867188,29.445549964904785,11.352979898452759,43.58754282734403,2037.3993760798219,6322.747570394529,482688,160896,23.539901733398438,30.99970054626465,19.615439891815186,43.58754282734403,29.372182778815542,28.941737412684454,12.792580942847824,False,,,,,,,,,,,
17785_Hedge_bindweed_Calystegia_sepium_pollen_grain.stl,C:/Users/super/Documents/GitHub/sequoia/data\raw\17785_Hedge_bindweed_Calystegia_sepium_pollen_grain.stl,Unknown,Unknown,98563,197122,-17.019899368286133,57.86149978637695,-22.611099243164062,53.05419921875,-52.124000549316406,19.1835994720459,20.42080020904541,15.221549987792969,-16.470200538635254,128.12975903940935,17772.891225662974,205130.0343506378,591366,197122,74.88139915466309,75.66529846191406,71.3076000213623,128.12975903940935,19.52647763355184,15.929538096681267,-16.842396765097252,False,,,,,,,,,,,
